Names,Realm
Jin Air Kuzan,KR
Elysium Delitto,EUW
NV Genji,NA
lllllllllllllI,TR
MinKOOK2,KR
Phones EX,EUW
Korea Mid lIllII,EUW
Razwen,EUNE
MILUJU CZ SCENU,EUW
Cotopaco,LAN
balagan,EUNE
UnderSky,BR
Altec0508,NA
Goshuujinn,EUW
D4yN1ghT,EUNE
Raid3,OCE
OPK Skyerr,BR
bobqinDX,NA
NR Ordno,EUNE
420 Katarina v2,EUNE
Acce1,LAS
beast mid laner,BR
Rivendedor,BR
Butler Delta,NA
Chapanya,NA
Kind Fate,NA
Gistick,EUW
nice try though,LAS
AresSigh,OCE
Stav,LAN
Don Creek,EUNE
samz0r,EUNE
Tank XD,KR
imnottryharder,EUW
Adrian Riven,NA
AFs Sangyoon,EUW
CALLING DESTINY,RU
Hy0g4,BR
Crowniee,EUW
KT Fly,KR
Sky Linsanity,NA
Frank Ocean,LAN
Waker,NA
코끼리킹,KR
i am woofi,LAS
ROX GorillA,KR
Maybé Tomorrow,EUNE
Noac,TR
진에어 트레이스,KR
MWWWWWWWWWWWWWWW,TR
gooDev1L,TR
아테나찡,KR
ESC Ever Tempt,KR
FAN DE KODI,LAS
Dudao ak trovão,BR
행운의 별9527,KR
C9 I Shadow I,NA
Tempëstz,LAN
윳 뚬,KR
Rey SkywaIker,BR
ApoIlo Price,NA
5tunt,NA
PhasedKiller,KR
FREED Dan,EUW
몽피D루키,KR
Klixx,NA
Tикки Микк,RU
Unfappable,RU
4G Jiizuké,EUW
Bad Player 2,LAN
ГАРБАГЕ Паин,RU
형빈이짱,KR
Hi im Candypanda,TR
GL IN LIFE,EUW
mtyy,EUW
Chief Swip3rR,OCE
XDSMILEYs6 v2,EUW
Prof1t,KR
HolyPhoenix v1,TR
french import,OCE
eVirgin,NA
Caôs,BR
pen huo long,KR
Kobbe,EUW
R0KYN,JP
nana says,TR
SkeLeton RaiDer,RU
QUE LA PESTE,TR
Vanníty,LAS
요플래,KR
         EPlLEF,BR
삼성갤럭시크라운,KR
XDXDXDXDXDXDXDX3,EUW
daram쥐,KR
KDM GuGer,KR
edrftg,BR
GILIUS RELEGATED,EUW
DH Ominick,LAS
A0A갓지민,KR
LUSKKÃO,BR
Darwin the fish,BR
Axiyo,KR
Badmilk,LAS
Adrian Ma,NA
Rudy,EUW
Chrisberg,EUW
thatonequeen,BR
Ricardownage,BR
pabl0v,LAS
GreIl,LAN
Hades9,KR
ReyCazador,LAS
삼성갤럭시CoreJJ,KR
DJ BJ,OCE
KT ssumday,KR
Huni,LAN
СЕРЕГА С ЛОКТЯ,RU
Longzhu Exqe,KR
Vladfire1 BG,NA
Jawako,TR
Bustiny,KR
Roarz,KR
КРОВАВЫЙ ЗЕФИР,RU
mistersantaclaus,EUNE
급식남탓뒤진다,KR
sexyminou,NA
Bâbe,TR
Reincarnati0n,LAS
Vini a Riven,BR
WLSTLA,KR
밥도둑수배자동탁,KR
Mid KG DoPa,EUNE
Uarein,KR
Bl4keouS,BR
Cowcore,EUW
Melhor do Prédio,BR
vppbo,BR
고마운 줄 모르고,KR
Blaizzy,EUNE
PRG Turtle,BR
GIA Samux,EUW
Dana 60 gs babay,EUW
Peng y2,KR
kapi111067,EUNE
GeneralBuffel,EUNE
Wolf Harahel,LAN
자신이 없어용,KR
The Good Looking,EUNE
ESG Phones,EUW
mefyideru,JP
Ankor,LAS
DoLL I,KR
HanBaoBao,EUW
IShemek,EUW
Zero,LAS
츄파춥스캔디,KR
4 15 20 1 2,KR
Razz,EUNE
Oh well,BR
CosmoDios,LAS
Africa,BR
박하누룽지,KR
BJ 에이트,KR
Mooboo,OCE
Mid On1y,EUW
Vien,EUNE
Vollkodaw,RU
eChamp Krastyel,BR
AdC Alot,BR
Swathe,OCE
Quantum Fizzics,NA
Sonaj,EUW
Professor11,BR
i wanna jungle,BR
Marrow Ooze,EUNE
4Head,LAS
immoQ,EUNE
Liquid Ezra,NA
boredomlaces97,NA
Hi im Hegler,JP
H2de,KR
Gerissi,OCE
토끼는자랐다,KR
Irode,EUW
Limitationss,LAN
x5 Fesh,OCE
KMV Gralou,LAS
참자성준아,KR
O Famoso Ramela,BR
EI Traidor,LAN
GG00NG,KR
Ok whatever,LAN
Viperrr,NA
Carnotaurus,LAS
ASUS Sánchez,EUW
Seikarii,EUW
S04 Steve,EUW
My Name is Cuong,EUW
Cleyton Coxinha,BR
The Paico Man,LAN
General Cweloli,EUNE
ときしっくします,JP
IWasted1300RP,EUNE
GilleteAbdiAmk31,EUW
C9 TopDie,OCE
erlc12348,EUNE
Eon Cat,LAN
Longzhu Justice,KR
엉덩국 갱승제로,KR
라인전만이겨드림,KR
CzypsyCebulowe,EUNE
Uther,OCE
The Way,BR
hiMitty,KR
Destiny,KR
LAMA Tonerre,EUW
여친생김삭제요,KR
ARCHANGEL TYRÂEL,TR
imKorean,RU
우르프rider,KR
Carry,LAS
LUClANO DO YT,BR
drogy,LAS
sanspareil2016,KR
NoMeRcy Fire IT,EUNE
Strompest,NA
chavoso triste,BR
Jade Green,KR
Keria,KR
트와이스손채영,KR
Sweetie Pie,NA
絢瀬l絵里,JP
ZTR Ggoong,KR
ShockWave,EUNE
치 와,KR
teg16,KR
Trap40,EUNE
V kaSing,EUW
Anshej,EUNE
Top1Toby,EUNE
SKY Ssita,NA
CNB HyperX Yampi,BR
x5 Cupcake,OCE
Slow by father,LAS
Smooshys,NA
Valentino,LAN
ESG Sedrion,EUW
God DanDe,LAS
위상의살인마,KR
えんてぃ,JP
세계최고를향해,KR
MySuppIsBoosted,LAS
EURatsKiller,EUW
dopa v2,EUW
Entranced,NA
Knubzyy,NA
SMD C0mm4nd3r,EUNE
Straight,LAN
I Will Miss You,OCE
ZeícrO,BR
Umi memeda,KR
SMURF DO G0RDOX,BR
Lilim,EUNE
쫄깃한 우동사리,KR
Ark,OCE
EV Klaabu,EUNE
VírusFx,LAN
Wudan3lu,KR
danz0r408,BR
Just Roma,LAS
TrashylsTrash,EUW
Liquid Yusan,NA
삼성갤럭시 급식,KR
달이 우물,KR
kms myself,NA
Hellkey,NA
Uriinho,BR
Serandier,EUNE
Kakało,EUW
yorooozu,JP
CJ ENTUS 버블,KR
ITS ONLY A GAME,RU
Rüven,EUW
Sntc,EUW
Snyzy,EUW
Aruton,TR
kto to Arteemo,EUNE
xObliverator,BR
Pridesalter,EUNE
Phaxi,EUW
unlucky team,BR
Shirilicious,OCE
Poulzric,BR
snitnaZ,BR
NiP Samwise,TR
Truly,NA
NEET 4,KR
èkuziiJ,EUW
